subclass,region,gene,n_clusters,mean,std,cv
Sncg,VISp,Adra2c,4,,,
Sncg,VISp,Adrb1,4,,,
Sncg,VISp,Adrb2,4,,,
Sncg,VISp,Hrh1,4,,,
Sncg,VISp,Hrh2,4,,,
Sncg,VISp,Hrh3,4,,,
Sncg,VISp,Adora1,4,,,
Sncg,VISp,Adora2a,4,,,
Sncg,VISp,Cnr1,4,,,
Sncg,VISp,Oprd1,4,,,
Sncg,VISp,Oprk1,4,,,
Sncg,VISp,Oprm1,4,,,
Sncg,VISp,Npy1r,4,,,
Sncg,VISp,Npy2r,4,,,
Sncg,ALM,Drd1,4,0.017332307802813342,0.018198757826323936,1.0499298825911418
Sncg,ALM,Drd2,4,0.09735588982312827,0.02973275694272179,0.3053996178055641
Sncg,ALM,Drd4,4,0.006885887754745811,0.006262854645835562,0.9093882271450957
Sncg,ALM,Drd5,4,5.037730582200343e-05,8.725605323214534e-05,1.6983384363213547
Sncg,ALM,Htr1a,4,0.006168525246937939,0.006246062178036404,1.012405643551982
Sncg,ALM,Htr1b,4,0.0,0.0,0.0
Sncg,ALM,Htr1d,4,0.0,0.0,0.0
Sncg,ALM,Htr1f,4,0.0013758881211914363,0.0023831081314340525,1.7307928616392763
Sncg,ALM,Htr2a,4,0.02533565239665759,0.01695238501869982,0.6690854321755694
Sncg,ALM,Htr2c,4,0.3346092343374987,0.19264996859945166,0.5757443999908822
Sncg,ALM,Htr3a,4,1.9900500884779002,0.9733923612956575,0.4891293328756506
Sncg,ALM,Htr4,4,0.0031439087266839196,0.004406831635200315,1.4012589929269592
Sncg,ALM,Htr6,4,0.04314484278900069,0.0376546642496157,0.8727298348014917
Sncg,ALM,Htr7,4,0.3343804797249753,0.07389590518477487,0.22099281708291188
Sncg,ALM,Chrm1,4,0.1791262219875955,0.11474036927111886,0.6405523850476763
Sncg,ALM,Chrm2,4,0.012779269401115116,0.01634558501838621,1.2789703022191385
Sncg,ALM,Chrm3,4,0.15298805309831343,0.0468345607305425,0.30613014318381193
Sncg,ALM,Chrm4,4,0.00688819890019043,0.00593168396118091,0.8610121506314685
Sncg,ALM,Chrm5,4,3.918319229591664e-05,6.786727985926903e-05,1.6889469447693835
Sncg,ALM,Chrna2,4,6.759842685223676e-05,0.00011708390981980236,1.7068016745049404
Sncg,ALM,Chrna4,4,0.4946943050865878,0.2928864598865678,0.5920542541540861
Sncg,ALM,Chrna5,4,0.32423956756483213,0.18915475668165496,0.58337782376301
Sncg,ALM,Chrna7,4,0.29795920965831507,0.13736331411486907,0.4610122750027261
Sncg,ALM,Chrnb2,4,0.142501618107951,0.010247401001768549,0.07191026479250903
Sncg,ALM,Adra1a,4,0.13894860962166794,0.07529708112969997,0.5419020703600312
Sncg,ALM,Adra1b,4,0.45252457387485756,0.3815412566036164,0.8431374459935577
Sncg,ALM,Adra2a,4,0.07406183996958146,0.04501133162366071,0.6077451477981053
Sncg,ALM,Adra2c,4,0.1483772916927792,0.04453280782509893,0.3001302098645614
Sncg,ALM,Adrb1,4,0.07326813312829009,0.018624293842822204,0.25419017596689897
Sncg,ALM,Adrb2,4,0.0014849652895970646,0.0025720353290583473,1.7308852010640048
