roi_a_idx,roi_b_idx,dist_um,noise_corr,signal_corr,total_corr,cx_a,cy_a,cx_b,cy_b
91,96,17.945260965184442,0.5090843,0.38973194,0.06689212,-300.13495,122.872925,-302.891,140.60529
405,446,26.06490413194103,0.5086926,0.29031426,0.317668,116.33307,225.11108,141.90466,230.15814
96,815,36.01512055820827,0.50748754,-0.04916856,0.13431083,-302.891,140.60529,-315.59338,174.306
605,606,42.49185052581554,0.506981,0.0056696786,0.24198893,359.28497,89.06387,332.23108,121.83038
56,1210,29.626611783575278,0.50604606,0.6983572,0.14962889,-332.26346,-158.08481,-359.70322,-146.9136
541,1058,44.70339779511625,0.5052753,0.22602123,0.09602723,266.42163,249.37039,254.14209,206.3866
500,932,33.0037635789303,0.50487345,0.7288977,0.17689426,222.5293,-22.502869,239.75989,-50.651672
633,637,43.020328274530335,0.504622,0.08942672,0.24591452,380.6167,24.1138,400.2414,62.397217
165,190,45.19498203829786,0.5023004,-0.16148913,0.106508784,-213.02536,164.8959,-171.68683,146.62811
132,161,28.27562261468004,0.50121546,0.72588253,0.31123894,-257.1141,65.24072,-228.90753,67.215576
1,1321,38.68070105231617,0.50070894,0.37966347,0.23192973,-458.73502,-81.56271,-474.16556,-117.03235
682,683,17.69765949974634,0.50056624,0.45264387,0.5567334,437.0539,-170.61665,454.70038,-171.96155
753,759,46.17777802749463,0.50041795,0.2784852,0.1847696,548.7611,-227.89069,549.67896,-181.72203
228,832,41.88066278078027,0.49916637,0.51441735,0.06624137,-150.26642,237.2973,-122.31714,206.10712
190,223,19.44850831241198,0.4988622,0.023478907,0.06484228,-171.68683,146.62811,-155.28821,157.0842
86,124,31.489211835730043,0.49875104,0.6763913,0.36249366,-282.15906,-44.08145,-255.84511,-26.785599
1011,1260,33.257164921674985,0.49855608,0.6614855,0.39341652,519.67865,-180.9213,523.95044,-213.90297
482,1192,27.57021471551021,0.49851704,-0.17108946,0.0050377892,169.91058,325.13116,143.81921,334.03943
879,1191,33.792757461546216,0.4968219,0.6452056,-0.029152583,-286.37537,51.345276,-317.06293,65.49533
611,612,20.493251998763597,0.49671477,0.05371489,0.006836274,339.56763,243.35455,345.99542,223.89545
560,1115,20.156896959616653,0.49659622,0.38492092,0.43642217,280.0559,35.500854,268.7829,52.210724
753,1031,36.90330926119562,0.4965836,0.3534101,0.19922319,548.7611,-227.89069,585.6566,-227.13191
827,1155,20.94379990744589,0.49628672,-0.23743297,0.07359979,320.16748,-28.812546,321.46753,-49.715958
124,910,11.646318766040457,0.49526912,0.40272897,0.21921544,-255.84511,-26.785599,-246.29651,-33.453506
148,176,25.347235703565666,0.49453753,-0.024259841,0.2275238,-191.84958,-116.83856,-182.4696,-140.38635
197,1160,24.303816392566844,0.4921005,0.54733217,0.3032793,-162.8299,263.8042,-160.87689,288.02942
809,985,46.05489318165135,0.4909666,0.30367827,0.31353047,405.50757,246.54483,429.81598,207.42764
676,985,41.09126421174844,0.49089518,-0.0836521,0.13412343,406.06665,173.89465,429.81598,207.42764
505,1300,24.33277793799349,0.49037987,0.5817753,0.3381211,222.23517,146.81543,205.18378,129.45645
393,1002,38.93535162129514,0.4902354,0.5527379,0.16755326,110.24286,-7.8925934,74.85828,8.352188
15,1321,38.61975535727916,0.48947012,-0.11532469,0.23012027,-443.10037,-139.97662,-474.16556,-117.03235
844,987,21.80471705124102,0.4889325,-0.044098,0.15495643,594.6062,208.60083,588.26025,187.73999
547,548,24.57466359420682,0.48885864,0.32606342,0.44160044,309.8247,-210.79367,319.0453,-188.0144
268,1083,21.82762910652766,0.48850372,0.18723904,0.11145468,-57.98645,-205.01105,-36.18524,-203.93741
1238,1280,45.183355332976745,0.4883315,0.6264657,0.36168283,523.25836,338.25427,478.1869,335.07654
606,1291,25.68324563751441,0.48815885,-0.18808483,0.37620842,332.23108,121.83038,356.4369,130.41571
220,1209,25.479961113830747,0.48747963,0.9075251,0.25176322,-140.01025,120.57031,-163.38535,110.42963
875,938,48.74239742532988,0.4871205,-0.67527527,0.017913098,233.59467,53.43637,280.86035,65.34335
411,993,16.596462782553214,0.4832175,0.8079376,-0.0075318892,116.38867,305.2536,106.364075,292.02673
717,719,17.17357839521868,0.48292214,0.49484408,0.38538772,436.66296,266.58542,453.7976,265.42966
501,1017,18.627013412978805,0.48288798,0.45246178,0.16563743,222.40051,23.838562,203.78186,24.396606
424,459,36.14339003997354,0.4823239,0.34720373,0.21827798,155.0799,-76.72864,175.63916,-47.002197
219,1026,46.31506956508891,0.4821806,0.5462351,0.17769577,-140.3287,84.239685,-128.40723,128.99417
605,607,31.297515133471293,0.48168302,0.16884862,0.23529011,359.28497,89.06387,330.11176,100.3978
615,920,46.24000627024379,0.4809321,0.1885872,0.15163958,351.4148,266.36096,317.94623,298.26697
533,1115,15.81853816089986,0.48003554,-0.029285828,0.19380386,269.9652,67.985016,268.7829,52.210724
875,1157,31.077049969848996,0.4798868,0.6479551,0.15584019,233.59467,53.43637,202.6167,50.956726
956,1231,13.026957644378914,0.4793686,-0.1979363,0.12122077,118.5567,-227.14017,116.26831,-214.31578
398,826,42.14220388381509,0.47914726,-0.064418055,0.026193947,113.20996,112.7446,79.41284,87.5708
719,1315,17.521936066690156,0.47786313,0.5004763,0.3336533,453.7976,265.42966,471.30103,266.23502
564,1052,32.30923396180905,0.4773383,-0.1358531,0.17506993,308.39404,161.79446,339.3081,171.18634
132,800,28.76287086026105,0.47732005,0.032425705,0.3222999,-257.1141,65.24072,-240.64178,88.81964
606,1052,49.86075407244122,0.47634926,0.45115727,0.22042058,332.23108,121.83038,339.3081,171.18634
225,832,29.335237524733305,0.47611657,0.23419295,0.1627152,-142.07251,184.42114,-122.31714,206.10712
582,620,26.396882949291292,0.47596294,0.43198073,0.3641088,355.82367,-221.74525,379.63226,-210.34586
531,953,49.316413820060774,0.47578403,0.43194023,0.1694198,236.96863,24.049103,233.24066,-25.126205
160,185,33.36020745884772,0.47554025,0.5941569,0.21588954,-207.8158,63.425964,-201.67505,30.635803
436,439,12.971447462602105,0.47553876,0.01806311,0.24947613,137.95093,84.04898,137.86023,97.02011
537,569,22.798202791631514,0.4751793,0.6144814,0.2444065,263.651,178.9408,284.61298,187.90482
677,985,27.380745080323205,0.47456187,0.013192912,0.17485711,413.27515,229.2475,429.81598,207.42764
168,169,16.714205854212707,0.47406894,0.6326682,0.059137892,-216.59766,224.02066,-218.29312,240.64865
611,1095,23.718173592129354,0.47327152,-0.2733712,0.16185416,339.56763,243.35455,325.0536,224.5957
361,363,41.385573153384314,0.4732312,0.8657121,0.06429819,54.988342,-116.75309,65.64575,-76.763275
95,815,41.85363315923094,0.47308865,0.15315297,0.25689125,-278.30322,155.30151,-315.59338,174.306
875,1115,35.20957130493748,0.4724192,0.01683811,0.15134619,233.59467,53.43637,268.7829,52.210724
