id,created,superceded_id,valid,valid_id,status_dendrite,status_axon,strategy_dendrite,strategy_axon,pt_supervoxel_id,pt_root_id,pt_position,soma_x_um,soma_y_um,soma_z_um
187,2024-06-03 19:45:52.634880+00:00,,True,864691135059143323,True,True,dendrite_extended,axon_interareal,105567548497849354,864691135059143323,[296712 168512  23849],1186.848,674.048,953.96
189,2024-06-03 19:45:52.636244+00:00,,True,864691135463695429,True,True,dendrite_clean,axon_interareal,108728644025004627,864691135463695429,[319813 127541  20742],1279.252,510.164,829.68
190,2024-06-03 19:45:52.636939+00:00,,True,864691135118298333,True,True,dendrite_clean,axon_fully_extended,97478990603962239,864691135118298333,[238080 196896  19088],952.32,787.584,763.52
195,2024-06-03 19:45:52.640558+00:00,,True,864691135518453642,True,True,dendrite_clean,axon_interareal,112246600264389221,864691135518453642,[345600 123708  21017],1382.4,494.832,840.68
196,2024-06-03 19:45:52.641255+00:00,,True,864691136912172017,True,True,dendrite_extended,axon_partially_extended,91987273352108825,864691136912172017,[198007 174819  16975],792.028,699.276,679.0
229,2024-06-03 19:45:52.664430+00:00,,True,864691135114295961,True,True,dendrite_extended,axon_fully_extended,98043796654473840,864691135114295961,[241892 210815  24315],967.568,843.26,972.6
232,2024-06-03 19:45:52.666494+00:00,,True,864691135501703746,True,True,dendrite_clean,axon_interareal,111541881694961422,864691135501703746,[340046 115924  18486],1360.184,463.696,739.44
4590,2025-11-17 21:56:20.333512+00:00,,True,864691136120663064,True,True,dendrite_extended,axon_fully_extended,96552445698057930,864691136120663064,[231280 109616  17796],925.12,438.464,711.84
234,2024-06-03 19:45:52.667885+00:00,,True,864691135404765166,True,True,dendrite_extended,axon_fully_extended,88403072342632329,864691135404765166,[171888 209344  22995],687.552,837.376,919.8
236,2024-06-03 19:45:52.669727+00:00,,True,864691135385422677,True,True,dendrite_extended,axon_interareal,105707049102838100,864691135385422677,[297818 159084  24458],1191.272,636.336,978.32
249,2024-06-03 19:45:52.678676+00:00,,True,864691135341198789,True,True,dendrite_clean,axon_interareal,112740143144090893,864691135341198789,[349040 130816  18299],1396.16,523.264,731.96
257,2024-06-03 19:45:52.683997+00:00,,True,864691135697613077,True,True,dendrite_extended,axon_interareal,109792971414921656,864691135697613077,[327229 192831  21771],1308.916,771.324,870.84
260,2024-06-03 19:45:52.686079+00:00,,True,864691135367033849,True,True,dendrite_extended,axon_interareal,105990036243235261,864691135367033849,[299964 170610  26714],1199.856,682.44,1068.56
269,2024-06-03 19:45:52.691982+00:00,,True,864691135162908461,True,True,dendrite_extended,axon_interareal,107606798835887611,864691135162908461,[311546 157458  22902],1246.184,629.832,916.08
286,2024-06-03 19:45:52.703671+00:00,,True,864691136974876956,True,True,dendrite_extended,axon_fully_extended,110706459687342783,864691136974876956,[333888 183296  23598],1335.552,733.184,943.92
3185,2025-02-17 20:13:30.473231+00:00,,True,864691135731966649,True,True,dendrite_extended,axon_partially_extended,88897783855359821,864691135731966649,[175344 225456  22738],701.376,901.824,909.52
2325,2024-11-16 22:13:19.685700+00:00,,True,864691135611140359,True,True,dendrite_extended,axon_partially_extended,90227093547385462,864691135611140359,[185264 168032  23618],741.056,672.128,944.72
4591,2025-11-17 21:56:20.334272+00:00,,True,864691135493079783,True,True,dendrite_extended,axon_fully_extended,113794093892748035,864691135493079783,[356656 119248  19118],1426.624,476.992,764.72
313,2024-06-03 19:45:52.722286+00:00,,True,864691135113733529,True,True,dendrite_extended,axon_interareal,102610961730745211,864691135113733529,[275364 160058  23827],1101.456,640.232,953.08
314,2024-06-03 19:45:52.722975+00:00,,True,864691135117980637,True,True,dendrite_extended,axon_partially_extended,104933130556860850,864691135117980637,[292172 160290  25727],1168.688,641.16,1029.08
339,2024-06-03 19:45:52.739948+00:00,,True,864691135360017752,True,True,dendrite_clean,axon_interareal,106616000950414313,864691135360017752,[304352 115808  19194],1217.408,463.232,767.76
3186,2025-02-17 20:13:30.473920+00:00,,True,864691135809384221,True,True,dendrite_extended,axon_partially_extended,89393801172850284,864691135809384221,[179072 250880  23983],716.288,1003.52,959.32
4592,2025-11-17 21:56:20.335026+00:00,,True,864691136438426526,True,True,dendrite_extended,axon_fully_extended,105137294914280567,864691136438426526,[293920 108672  16508],1175.68,434.688,660.32
4593,2025-11-17 21:56:20.335734+00:00,,True,864691135787537348,True,True,dendrite_extended,axon_fully_extended,95994925053188347,864691135787537348,[227024 149712  21470],908.096,598.848,858.8
2330,2024-11-16 22:13:19.689085+00:00,,True,864691136953413599,True,True,dendrite_extended,axon_partially_extended,97682950480694735,864691136953413599,[239328 143712  22684],957.312,574.848,907.36
2331,2024-11-16 22:13:19.689761+00:00,,True,864691135375484489,True,True,dendrite_extended,axon_partially_extended,97261768338268690,864691135375484489,[236112 151536  19328],944.448,606.144,773.12
359,2024-06-03 19:45:52.753619+00:00,,True,864691136378815445,True,True,dendrite_extended,axon_interareal,93180931132713432,864691136378815445,[206811 155433  20512],827.244,621.732,820.48
361,2024-06-03 19:45:52.754958+00:00,,True,864691135700648226,True,True,dendrite_clean,axon_interareal,111822944757395583,864691135700648226,[342078 112989  21517],1368.312,451.956,860.68
365,2024-06-03 19:45:52.757716+00:00,,True,864691135937286404,True,True,dendrite_extended,axon_interareal,109434461636578380,864691135937286404,[324982 143132  19938],1299.928,572.528,797.52
375,2024-06-03 19:45:52.764726+00:00,,True,864691135428676144,True,True,dendrite_clean,axon_interareal,111187907536493639,864691135428676144,[337776 100192  17847],1351.104,400.768,713.88
393,2024-06-03 19:45:52.776403+00:00,,True,864691136578820884,True,True,dendrite_extended,axon_fully_extended,104304209100407554,864691136578820884,[287632 192944  19549],1150.528,771.776,781.96
2332,2024-11-16 22:13:19.690434+00:00,,True,864691135455701354,True,True,dendrite_extended,axon_partially_extended,99374548583023815,864691135455701354,[251824 164048  18471],1007.296,656.192,738.84
405,2024-06-03 19:45:52.784405+00:00,,True,864691136134678667,True,True,dendrite_extended,axon_interareal,87912758674392495,864691136134678667,[168410 226141  21120],673.64,904.564,844.8
3187,2025-02-17 20:13:30.474585+00:00,,True,864691135492276839,True,True,dendrite_extended,axon_partially_extended,92208138622802677,864691135492276839,[199344 247712  23678],797.376,990.848,947.12
3188,2025-02-17 20:13:30.475265+00:00,,True,864691135271590309,True,True,dendrite_extended,axon_partially_extended,89953933493474598,864691135271590309,[182896 229904  22890],731.584,919.616,915.6
409,2024-06-03 19:45:52.787221+00:00,,True,864691136012173475,True,True,dendrite_extended,axon_partially_extended,88537693730046034,864691136012173475,[172752 163920  22153],691.008,655.68,886.12
415,2024-06-03 19:45:52.791135+00:00,,True,864691135416233914,True,True,dendrite_clean,axon_interareal,109221500246318069,864691135416233914,[323216 129600  21719],1292.864,518.4,868.76
440,2024-06-03 19:45:52.807581+00:00,,True,864691135502730562,True,True,dendrite_clean,axon_interareal,110910212332252975,864691135502730562,[335495 128652  19294],1341.98,514.608,771.76
445,2024-06-03 19:45:52.811037+00:00,,True,864691135503004765,True,True,dendrite_extended,axon_partially_extended,88953790094754156,864691135503004765,[176080 118192  21795],704.32,472.768,871.8
446,2024-06-03 19:45:52.811689+00:00,,True,864691136118618136,True,True,dendrite_clean,axon_interareal,106969013170593765,864691136118618136,[307216 124304  21066],1228.864,497.216,842.64
447,2024-06-03 19:45:52.812352+00:00,,True,864691136275031565,True,True,dendrite_extended,axon_interareal,108663841356941569,864691136275031565,[319017 169130  19049],1276.068,676.52,761.96
448,2024-06-03 19:45:52.813009+00:00,,True,864691135373601736,True,True,dendrite_extended,axon_partially_extended,88901425719334328,864691135373601736,[175472 252512  20824],701.888,1010.048,832.96
3189,2025-02-17 20:13:30.475923+00:00,,True,864691135015048342,True,True,dendrite_extended,axon_partially_extended,92630625898934396,864691135015048342,[202368 249984  23417],809.472,999.936,936.68
4594,2025-11-17 21:56:20.336465+00:00,,True,864691135540440178,True,True,dendrite_extended,axon_fully_extended,90922672023921994,864691135540440178,[190080 107680  23215],760.32,430.72,928.6
471,2024-06-03 19:45:52.828703+00:00,,True,864691135953985800,True,True,dendrite_extended,axon_interareal,85367320872251591,864691135953985800,[149878 135866  23756],599.512,543.464,950.24
478,2024-06-03 19:45:52.833497+00:00,,True,864691136123919654,True,True,dendrite_extended,axon_partially_extended,90940538752561325,864691136123919654,[190288 240432  20878],761.152,961.728,835.12
491,2024-06-03 19:45:52.842313+00:00,,True,864691136100014453,True,True,dendrite_extended,axon_partially_extended,90870719696948084,864691136100014453,[189488 244896  20217],757.952,979.584,808.68
3190,2025-02-17 20:13:30.476579+00:00,,True,864691135742327147,True,True,dendrite_extended,axon_partially_extended,90449126176894994,864691135742327147,[186592 249344  23744],746.368,997.376,949.76
4595,2025-11-17 21:56:20.337154+00:00,,True,864691135802453858,True,True,dendrite_extended,axon_fully_extended,91274447092281188,864691135802453858,[192640 107120  23586],770.56,428.48,943.44
523,2024-06-03 19:45:52.864158+00:00,,True,864691136487168530,True,True,dendrite_extended,axon_partially_extended,90868795820075763,864691136487168530,[189984 230336  22357],759.936,921.344,894.28
536,2024-06-03 19:45:52.873063+00:00,,True,864691136273494206,True,True,dendrite_clean,axon_interareal,109783006956578454,864691136273494206,[327517 118525  20762],1310.068,474.1,830.48
538,2024-06-03 19:45:52.874338+00:00,,True,864691135946676260,True,True,dendrite_clean,axon_interareal,108446687944569190,864691135946676260,[317744 123952  19983],1270.976,495.808,799.32
