idx_a,idx_b,dist_um,syn_ab,syn_ba,syn_total,root_id_a,root_id_b
701,726,10.090318528173436,0,0,0,864691135782506832,864691136012739747
366,949,10.098652583389528,0,0,0,864691135492308071,864691135014681590
1202,1507,10.116508488604131,0,0,0,864691136196265704,864691135571515270
680,2301,10.120227665423322,0,0,0,864691135157210468,864691136177799686
1309,1383,10.122336489170827,0,0,0,864691135939462453,864691135577135390
620,1412,10.127431263652197,0,0,0,864691135989943040,864691135886130288
704,2052,10.140090729377118,0,0,0,864691135878468435,864691136446104451
232,1494,10.143861197788521,0,0,0,864691135940881830,864691136137239691
1626,2257,10.17017443311573,0,0,0,864691136275166398,864691135562975969
490,502,10.172279193966322,0,0,0,864691135294442678,864691135938816260
1264,1378,10.176959074301191,0,0,0,864691136125956134,864691135779297981
1459,1619,10.177056548924137,0,0,0,864691136364362466,864691135496440208
684,1164,10.213966908111622,0,0,0,864691135591664907,864691135939049988
426,602,10.2170242243033,0,0,0,864691136380400341,864691135782278224
2255,2285,10.217678797065417,0,0,0,864691135474504498,864691135886300016
1260,1295,10.219332267814845,0,0,0,864691135473954354,864691135388675969
535,1557,10.224716719792228,0,0,0,864691135573276197,864691135811335116
168,668,10.231996872556202,0,0,0,864691136419797655,864691136372039560
736,1095,10.252046039693694,0,0,0,864691135583223405,864691136954050527
1304,1795,10.2549890297357,0,0,0,864691135212078784,864691135570135020
2095,2117,10.25500151145772,0,0,0,864691136118805668,864691135774389755
670,1583,10.257063907376201,0,0,0,864691135562052065,864691135717386266
1854,2187,10.260030409311597,0,0,0,864691136138583677,864691134942472035
526,757,10.264623519642567,0,0,0,864691135591533579,864691136489262866
758,774,10.265617955096484,0,0,0,864691136523628945,864691135685980087
995,1538,10.26995618296397,0,0,0,864691136814627955,864691135757083346
615,962,10.272000000000036,0,0,0,864691135868334870,864691135866279900
941,1897,10.273158813140217,0,0,0,864691135838916755,864691135470556242
533,771,10.276313735965887,0,0,0,864691135763491126,864691136177029382
1089,1118,10.279626452357048,0,0,0,864691135741197716,864691135585713528
2227,2282,10.286146022685008,0,0,0,864691135396940021,864691136111556792
1201,2047,10.28823949954506,0,0,0,864691135324705692,864691135384843738
718,2032,10.29048803507399,0,0,0,864691135431654960,864691135577617694
928,1171,10.299241137093588,0,0,0,864691136195537366,864691135778604640
1650,1952,10.301319527128546,0,0,0,864691135990520064,864691135948823905
121,2016,10.308995683382479,0,0,0,864691135503004765,864691136299026971
1310,2115,10.31338702851792,0,0,0,864691135456207722,864691135942163201
708,2251,10.323487782721553,0,0,0,864691135727907391,864691135504081986
280,689,10.325753434979953,0,0,0,864691135359413848,864691135990004992
526,931,10.3270301636046,0,0,0,864691135591533579,864691135510267401
487,1312,10.345781749099528,0,0,0,864691136144827444,864691136335553971
697,1686,10.353968900861098,0,0,0,864691134886335738,864691136484596012
1211,1557,10.369098707216606,0,0,0,864691136380718037,864691135811335116
696,2034,10.374319061991462,0,0,0,864691135868386070,864691135493546591
948,1552,10.38330968429625,0,0,0,864691135694421439,864691136274933950
